Action_ID,Action_Title,Issue_ID,Action_Type,Action_Status,Scheduled_Date,Started_Date,Completed_Date,Notes,Estimated_Cost,Actual_Cost
MNT00127,Inspection - AST0066,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00128,Preventive - AST0066,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00129,Inspection - AST0066,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00130,Preventive - AST0067,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00131,Preventive - AST0068,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00132,Preventive - AST0069,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00133,Preventive - AST0069,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00134,Inspection - AST0069,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00135,Preventive - AST0070,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00136,Preventive - AST0070,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00137,Preventive - AST0070,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00138,Inspection - AST0071,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00139,Preventive - AST0071,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00140,Preventive - AST0072,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00141,Inspection - AST0072,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00142,Preventive - AST0073,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00143,Inspection - AST0073,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00144,Preventive - AST0074,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00145,Inspection - AST0074,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00146,Preventive - AST0075,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00147,Preventive - AST0076,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00148,Preventive - AST0076,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00149,Preventive - AST0077,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00150,Preventive - AST0078,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00151,Preventive - AST0078,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00152,Inspection - AST0079,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00153,Preventive - AST0080,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00154,Preventive - AST0080,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00155,Preventive - AST0081,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00156,Preventive - AST0081,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00157,Preventive - AST0082,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00158,Preventive - AST0082,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00159,Preventive - AST0083,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00160,Preventive - AST0084,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00161,Preventive - AST0085,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00162,Preventive - AST0085,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00163,Inspection - AST0086,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00164,Preventive - AST0086,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00165,Inspection - AST0087,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00166,Inspection - AST0088,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00167,Preventive - AST0088,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00168,Preventive - AST0089,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00169,Preventive - AST0090,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00170,Inspection - AST0090,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00171,Preventive - AST0091,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00172,Preventive - AST0091,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00173,Preventive - AST0092,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00174,Preventive - AST0093,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00175,Inspection - AST0093,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00176,Preventive - AST0094,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00177,Inspection - AST0094,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00178,Preventive - AST0095,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00179,Preventive - AST0095,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00180,Preventive - AST0096,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00181,Preventive - AST0096,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00182,Preventive - AST0097,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00183,Preventive - AST0097,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00184,Preventive - AST0098,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00185,Inspection - AST0099,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00186,Preventive - AST0100,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00187,Inspection - AST0101,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00188,Preventive - AST0101,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00189,Inspection - AST0102,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00190,Preventive - AST0102,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00191,Preventive - AST0102,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00192,Preventive - AST0103,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00193,Preventive - AST0104,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00194,Preventive - AST0105,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00195,Preventive - AST0105,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00196,Preventive - AST0106,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00197,Preventive - AST0107,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00198,Preventive - AST0107,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00199,Preventive - AST0108,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00200,Preventive - AST0109,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00201,Inspection - AST0110,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00202,Inspection - AST0111,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00203,Preventive - AST0111,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00204,Preventive - AST0111,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00205,Inspection - AST0112,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00206,Preventive - AST0113,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00207,Preventive - AST0113,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00208,Inspection - AST0114,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00209,Preventive - AST0115,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00210,Preventive - AST0116,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00211,Preventive - AST0116,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00212,Inspection - AST0117,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00213,Inspection - AST0117,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00214,Preventive - AST0117,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00215,Preventive - AST0118,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00216,Preventive - AST0118,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00217,Preventive - AST0118,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00218,Inspection - AST0119,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00219,Preventive - AST0120,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00220,Inspection - AST0121,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00221,Inspection - AST0122,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00222,Preventive - AST0122,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00223,Inspection - AST0123,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00224,Inspection - AST0124,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00225,Preventive - AST0125,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00226,Inspection - AST0125,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00227,Inspection - AST0126,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00228,Preventive - AST0126,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00229,Inspection - AST0127,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00230,Preventive - AST0128,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00231,Preventive - AST0128,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00232,Preventive - AST0129,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00233,Inspection - AST0129,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00234,Preventive - AST0130,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00235,Preventive - AST0130,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00236,Preventive - AST0131,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00237,Preventive - AST0131,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00238,Inspection - AST0132,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00239,Preventive - AST0132,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00240,Preventive - AST0133,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00241,Inspection - AST0133,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00242,Preventive - AST0134,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00243,Preventive - AST0134,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00244,Preventive - AST0135,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00245,Preventive - AST0135,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00246,Preventive - AST0136,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00247,Preventive - AST0136,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00248,Preventive - AST0136,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00249,Inspection - AST0137,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00250,Preventive - AST0138,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00251,Preventive - AST0138,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00252,Inspection - AST0139,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00253,Preventive - AST0140,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00254,Preventive - AST0141,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00255,Preventive - AST0142,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00256,Preventive - AST0142,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00257,Preventive - AST0142,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00258,Preventive - AST0143,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00259,Preventive - AST0143,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00260,Preventive - AST0144,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00261,Inspection - AST0144,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00262,Preventive - AST0145,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00263,Preventive - AST0145,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00264,Preventive - AST0145,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00265,Preventive - AST0146,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00266,Inspection - AST0147,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00267,Inspection - AST0148,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00268,Preventive - AST0149,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00269,Inspection - AST0150,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00270,Inspection - AST0150,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00271,Corrective - AST0005,FLR0001,Corrective,Planned,,,,Electrical Fault,,
MNT00272,Corrective - AST0009,FLR0002,Corrective,Planned,,,,Motor Failure,,
MNT00273,Corrective - AST0009,FLR0003,Corrective,Planned,,,,Motor Failure,,
MNT00274,Emergency - AST0009,FLR0004,Emergency,Planned,,,,Excessive Vibration,,
MNT00275,Corrective - AST0018,FLR0005,Corrective,Planned,,,,Pressure Loss,,
MNT00276,Corrective - AST0020,FLR0006,Corrective,Planned,,,,Motor Failure,,
MNT00277,Corrective - AST0025,FLR0007,Corrective,Planned,,,,Bearing Failure,,
MNT00278,Corrective - AST0025,FLR0008,Corrective,Planned,,,,Bearing Failure,,
MNT00279,Emergency - AST0029,FLR0009,Emergency,Planned,,,,Mechanical Wear,,
MNT00280,Corrective - AST0038,FLR0010,Corrective,Planned,,,,Overheating,,
MNT00281,Emergency - AST0041,FLR0011,Emergency,Planned,,,,Motor Failure,,
MNT00282,Corrective - AST0041,FLR0012,Corrective,Planned,,,,Excessive Vibration,,
MNT00283,Corrective - AST0045,FLR0013,Corrective,Planned,,,,Motor Failure,,
MNT00284,Corrective - AST0053,FLR0014,Corrective,Planned,,,,Electrical Fault,,
MNT00285,Corrective - AST0061,FLR0015,Corrective,Planned,,,,Bearing Failure,,
MNT00286,Corrective - AST0061,FLR0016,Corrective,Planned,,,,Overheating,,
MNT00287,Corrective - AST0067,FLR0017,Corrective,Planned,,,,Excessive Vibration,,
MNT00288,Corrective - AST0074,FLR0018,Corrective,Planned,,,,Mechanical Wear,,
MNT00289,Corrective - AST0075,FLR0019,Corrective,Planned,,,,Motor Failure,,
MNT00290,Corrective - AST0078,FLR0020,Corrective,Planned,,,,Overheating,,
MNT00291,Corrective - AST0080,FLR0021,Corrective,Planned,,,,Overheating,,
MNT00292,Corrective - AST0081,FLR0022,Corrective,Planned,,,,Mechanical Wear,,
MNT00293,Corrective - AST0085,FLR0023,Corrective,Planned,,,,Excessive Vibration,,
MNT00294,Emergency - AST0095,FLR0024,Emergency,Planned,,,,Excessive Vibration,,
MNT00295,Corrective - AST0097,FLR0025,Corrective,Planned,,,,Excessive Vibration,,
MNT00296,Corrective - AST0097,FLR0026,Corrective,Planned,,,,Excessive Vibration,,
MNT00297,Corrective - AST0100,FLR0027,Corrective,Planned,,,,Motor Failure,,
MNT00298,Corrective - AST0100,FLR0028,Corrective,Planned,,,,Mechanical Wear,,
MNT00299,Corrective - AST0100,FLR0029,Corrective,Planned,,,,Mechanical Wear,,
MNT00300,Emergency - AST0103,FLR0030,Emergency,Planned,,,,Pressure Loss,,
MNT00301,Corrective - AST0107,FLR0031,Corrective,Planned,,,,Pressure Loss,,
MNT00302,Corrective - AST0109,FLR0032,Corrective,Planned,,,,Bearing Failure,,
MNT00303,Emergency - AST0115,FLR0033,Emergency,Planned,,,,Mechanical Wear,,
MNT00304,Emergency - AST0133,FLR0034,Emergency,Planned,,,,Bearing Failure,,
MNT00305,Emergency - AST0133,FLR0035,Emergency,Planned,,,,Bearing Failure,,
MNT00306,Corrective - AST0139,FLR0036,Corrective,Planned,,,,Pressure Loss,,
MNT00307,Corrective - AST0139,FLR0037,Corrective,Planned,,,,Bearing Failure,,
MNT00308,Corrective - AST0142,FLR0038,Corrective,Planned,,,,Bearing Failure,,
MNT00309,Corrective - AST0142,FLR0039,Corrective,Planned,,,,Bearing Failure,,
MNT00310,Corrective - AST0147,FLR0040,Corrective,Planned,,,,Excessive Vibration,,
