"Issue_ID","Issue_Name","Issue_Title","Asset_GUID","Reported_Date","Issue_Status","Severity","Detection_Method","Production_Impact","Root_Cause","Description","Source_Asset_ID","Source_Failure_DateTime","Source_Downtime_Hours","Source_Failure_Component"
"FLR0011","FLR0011 - Motor Failure - AST0041","FLR0011 - Motor Failure - AST0041","73cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-07","Resolved","Critical","Predictive Alert","Major","Seal Degradation","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-07-07T11:00:00. Recorded downtime: 15.52 hours.","AST0041","2026-07-07T11:00:00","15.52","Motor"
"FLR0012","FLR0012 - Excessive Vibration - AST0041","FLR0012 - Excessive Vibration - AST0041","73cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-25","Resolved","Low","Predictive Alert","Minor","Component Wear","Failure type: Excessive Vibration. Component: Fan Blade. Source failure timestamp: 2026-06-25T02:00:00. Recorded downtime: 1.84 hours.","AST0041","2026-06-25T02:00:00","1.84","Fan Blade"
"FLR0013","FLR0013 - Motor Failure - AST0045","FLR0013 - Motor Failure - AST0045","7bcc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-08-06","Resolved","Low","Sensor Alert","Minor","Lubrication Failure","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-08-06T09:00:00. Recorded downtime: 0.54 hours.","AST0045","2026-08-06T09:00:00","0.54","Motor"
"FLR0014","FLR0014 - Electrical Fault - AST0053","FLR0014 - Electrical Fault - AST0053","84cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-09","Resolved","Low","Predictive Alert","Minor","Misalignment","Failure type: Electrical Fault. Component: Electrical System. Source failure timestamp: 2026-07-09T12:00:00. Recorded downtime: 1.63 hours.","AST0053","2026-07-09T12:00:00","1.63","Electrical System"
"FLR0015","FLR0015 - Bearing Failure - AST0061","FLR0015 - Bearing Failure - AST0061","8ccc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-21","Resolved","Medium","Sensor Alert","Minor","Lubrication Failure","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-07-21T21:00:00. Recorded downtime: 2.27 hours.","AST0061","2026-07-21T21:00:00","2.27","Bearing"
"FLR0016","FLR0016 - Overheating - AST0061","FLR0016 - Overheating - AST0061","8ccc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-08-24","Resolved","High","Predictive Alert","Moderate","Lubrication Failure","Failure type: Overheating. Component: Winding. Source failure timestamp: 2026-08-24T11:00:00. Recorded downtime: 5.62 hours.","AST0061","2026-08-24T11:00:00","5.62","Winding"
"FLR0017","FLR0017 - Excessive Vibration - AST0067","FLR0017 - Excessive Vibration - AST0067","92cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-01","Resolved","Medium","Sensor Alert","Minor","Seal Degradation","Failure type: Excessive Vibration. Component: Impeller. Source failure timestamp: 2026-07-01T05:00:00. Recorded downtime: 4.31 hours.","AST0067","2026-07-01T05:00:00","4.31","Impeller"
"FLR0018","FLR0018 - Mechanical Wear - AST0074","FLR0018 - Mechanical Wear - AST0074","99cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-29","Resolved","Medium","Sensor Alert","Minor","Electrical Degradation","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-06-29T04:00:00. Recorded downtime: 2.49 hours.","AST0074","2026-06-29T04:00:00","2.49","Belt"
"FLR0019","FLR0019 - Motor Failure - AST0075","FLR0019 - Motor Failure - AST0075","9acc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-21","Resolved","High","Predictive Alert","Moderate","Misalignment","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-07-21T14:00:00. Recorded downtime: 5.23 hours.","AST0075","2026-07-21T14:00:00","5.23","Motor"
"FLR0020","FLR0020 - Overheating - AST0078","FLR0020 - Overheating - AST0078","9dcc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-18","Resolved","Medium","Scheduled Inspection","Minor","Seal Degradation","Failure type: Overheating. Component: Winding. Source failure timestamp: 2026-06-18T23:00:00. Recorded downtime: 4.21 hours.","AST0078","2026-06-18T23:00:00","4.21","Winding"
"FLR0021","FLR0021 - Overheating - AST0080","FLR0021 - Overheating - AST0080","9fcc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-14","Resolved","Medium","Operator Inspection","Minor","Seal Degradation","Failure type: Overheating. Component: Bearing. Source failure timestamp: 2026-06-14T08:00:00. Recorded downtime: 3.28 hours.","AST0080","2026-06-14T08:00:00","3.28","Bearing"
"FLR0022","FLR0022 - Mechanical Wear - AST0081","FLR0022 - Mechanical Wear - AST0081","a0cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-08-08","Resolved","High","Operator Inspection","Moderate","Overload","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-08-08T09:00:00. Recorded downtime: 5.31 hours.","AST0081","2026-08-08T09:00:00","5.31","Belt"
"FLR0023","FLR0023 - Excessive Vibration - AST0085","FLR0023 - Excessive Vibration - AST0085","a4cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-08-21","Resolved","High","Sensor Alert","Moderate","Seal Degradation","Failure type: Excessive Vibration. Component: Fan Blade. Source failure timestamp: 2026-08-21T20:00:00. Recorded downtime: 6.06 hours.","AST0085","2026-08-21T20:00:00","6.06","Fan Blade"
"FLR0024","FLR0024 - Excessive Vibration - AST0095","FLR0024 - Excessive Vibration - AST0095","aecc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-22","Resolved","Critical","Sensor Alert","Major","Component Wear","Failure type: Excessive Vibration. Component: Fan Blade. Source failure timestamp: 2026-07-22T21:00:00. Recorded downtime: 34.66 hours.","AST0095","2026-07-22T21:00:00","34.66","Fan Blade"
"FLR0025","FLR0025 - Excessive Vibration - AST0097","FLR0025 - Excessive Vibration - AST0097","b0cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-08-18","Resolved","Medium","Operator Inspection","Minor","Seal Degradation","Failure type: Excessive Vibration. Component: Impeller. Source failure timestamp: 2026-08-18T05:00:00. Recorded downtime: 4.06 hours.","AST0097","2026-08-18T05:00:00","4.06","Impeller"
"FLR0026","FLR0026 - Excessive Vibration - AST0097","FLR0026 - Excessive Vibration - AST0097","b0cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-05","Resolved","Low","Predictive Alert","Minor","Seal Degradation","Failure type: Excessive Vibration. Component: Impeller. Source failure timestamp: 2026-06-05T07:00:00. Recorded downtime: 0.96 hours.","AST0097","2026-06-05T07:00:00","0.96","Impeller"
"FLR0027","FLR0027 - Motor Failure - AST0100","FLR0027 - Motor Failure - AST0100","b3cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-01","Resolved","Medium","Predictive Alert","Minor","Overload","Failure type: Motor Failure. Component: Drive Motor. Source failure timestamp: 2026-07-01T22:00:00. Recorded downtime: 4.46 hours.","AST0100","2026-07-01T22:00:00","4.46","Drive Motor"
"FLR0028","FLR0028 - Mechanical Wear - AST0100","FLR0028 - Mechanical Wear - AST0100","b3cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-08","Resolved","Low","Operator Inspection","Minor","Component Wear","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-06-08T09:00:00. Recorded downtime: 1.9 hours.","AST0100","2026-06-08T09:00:00","1.9","Belt"
"FLR0029","FLR0029 - Mechanical Wear - AST0100","FLR0029 - Mechanical Wear - AST0100","b3cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-07","Resolved","Low","Scheduled Inspection","Minor","Overload","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-06-07T13:00:00. Recorded downtime: 1.04 hours.","AST0100","2026-06-07T13:00:00","1.04","Belt"
"FLR0030","FLR0030 - Pressure Loss - AST0103","FLR0030 - Pressure Loss - AST0103","814a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-06","Resolved","Critical","Sensor Alert","Major","Lubrication Failure","Failure type: Pressure Loss. Component: Seal. Source failure timestamp: 2026-08-06T16:00:00. Recorded downtime: 18.9 hours.","AST0103","2026-08-06T16:00:00","18.9","Seal"
"FLR0031","FLR0031 - Pressure Loss - AST0107","FLR0031 - Pressure Loss - AST0107","864a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-03","Resolved","High","Sensor Alert","Moderate","Component Wear","Failure type: Pressure Loss. Component: Seal. Source failure timestamp: 2026-07-03T19:00:00. Recorded downtime: 7.04 hours.","AST0107","2026-07-03T19:00:00","7.04","Seal"
"FLR0032","FLR0032 - Bearing Failure - AST0109","FLR0032 - Bearing Failure - AST0109","8a4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-22","Resolved","Medium","Scheduled Inspection","Minor","Seal Degradation","Failure type: Bearing Failure. Component: Roller Bearing. Source failure timestamp: 2026-07-22T12:00:00. Recorded downtime: 4.85 hours.","AST0109","2026-07-22T12:00:00","4.85","Roller Bearing"
"FLR0033","FLR0033 - Mechanical Wear - AST0115","FLR0033 - Mechanical Wear - AST0115","974a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-25","Resolved","Critical","Predictive Alert","Major","Misalignment","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-08-25T08:00:00. Recorded downtime: 35.04 hours.","AST0115","2026-08-25T08:00:00","35.04","Belt"
"FLR0034","FLR0034 - Bearing Failure - AST0133","FLR0034 - Bearing Failure - AST0133","bb4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-26","Resolved","Critical","Predictive Alert","Major","Component Wear","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-08-26T10:00:00. Recorded downtime: 14.44 hours.","AST0133","2026-08-26T10:00:00","14.44","Bearing"
"FLR0035","FLR0035 - Bearing Failure - AST0133","FLR0035 - Bearing Failure - AST0133","bb4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-06","Resolved","Critical","Predictive Alert","Major","Component Wear","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-07-06T10:00:00. Recorded downtime: 24.17 hours.","AST0133","2026-07-06T10:00:00","24.17","Bearing"
"FLR0036","FLR0036 - Pressure Loss - AST0139","FLR0036 - Pressure Loss - AST0139","c74a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-01","Resolved","Low","Predictive Alert","Minor","Lubrication Failure","Failure type: Pressure Loss. Component: Seal. Source failure timestamp: 2026-07-01T13:00:00. Recorded downtime: 0.9 hours.","AST0139","2026-07-01T13:00:00","0.9","Seal"
"FLR0037","FLR0037 - Bearing Failure - AST0139","FLR0037 - Bearing Failure - AST0139","c74a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-27","Resolved","High","Operator Inspection","Moderate","Lubrication Failure","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-08-27T23:00:00. Recorded downtime: 5.87 hours.","AST0139","2026-08-27T23:00:00","5.87","Bearing"
"FLR0038","FLR0038 - Bearing Failure - AST0142","FLR0038 - Bearing Failure - AST0142","cd4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-28","Resolved","Medium","Scheduled Inspection","Minor","Electrical Degradation","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-07-28T14:00:00. Recorded downtime: 3.23 hours.","AST0142","2026-07-28T14:00:00","3.23","Bearing"
"FLR0039","FLR0039 - Bearing Failure - AST0142","FLR0039 - Bearing Failure - AST0142","cd4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-03","Resolved","Medium","Predictive Alert","Minor","Misalignment","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-08-03T17:00:00. Recorded downtime: 2.62 hours.","AST0142","2026-08-03T17:00:00","2.62","Bearing"
"FLR0040","FLR0040 - Excessive Vibration - AST0147","FLR0040 - Excessive Vibration - AST0147","76cc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-06-27","Resolved","Medium","Predictive Alert","Minor","Lubrication Failure","Failure type: Excessive Vibration. Component: Fan Blade. Source failure timestamp: 2026-06-27T03:00:00. Recorded downtime: 2.05 hours.","AST0147","2026-06-27T03:00:00","2.05","Fan Blade"
