"Asset_ID","Asset_Name","Asset_Type","Manufacturer","Model","Serial_Number","Install_Date","Criticality","Rated_Capacity","Capacity_Unit","Asset_Status","Expected_Life_Years","Warranty_End_Date","Site_GUID"
"AST0095","Fan 095","Fan","ABB","CENT-750","SN-000095","2017-02-01","Medium","5431.74","m3/h","Active","15","01/02/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0096","Conveyor 096","Conveyor","SEW-Eurodrive","3200 Series","SN-000096","2016-07-31","Low","1734.53","kg/h","Maintenance","12","31/07/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0097","Pump 097","Pump","KSB","CR20","SN-000097","2022-10-16","Medium","195.28","m3/h","Active","10","16/10/2027","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0098","Compressor 098","Compressor","Ingersoll Rand","R-Series","SN-000098","2017-10-16","High","47.91","kW","Active","10","16/10/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0099","Fan 099","Fan","FläktGroup","CENT-750","SN-000099","2024-07-04","Medium","11887.04","m3/h","Active","12","04/07/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0100","Conveyor 100","Conveyor","Dorner","MOVIMOT","SN-000100","2020-12-13","Medium","651.73","kg/h","Active","10","13/12/2025","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0101","Motor 101","Motor","ABB","M3BP","SN-000101","2024-10-31","High","42.93","kW","Active","20","31/10/2029","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0102","Motor 102","Motor","Siemens","SIMOTICS GP","SN-000102","2016-11-02","High","13.27","kW","Active","10","02/11/2021","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0103","Pump 103","Pump","KSB","CR20","SN-000103","2022-01-25","High","142.16","m3/h","Active","12","25/01/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0104","Pump 104","Pump","Grundfos","CR20","SN-000104","2019-10-20","Medium","209.88","m3/h","Active","10","20/10/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0105","Motor 105","Motor","Siemens","M3BP","SN-000105","2024-12-23","High","16.76","kW","Active","15","23/12/2029","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0106","Conveyor 106","Conveyor","Dorner","MOVIMOT","SN-000106","2015-10-30","Medium","1736.51","kg/h","Active","15","30/10/2020","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0107","Pump 107","Pump","Grundfos","CR20","SN-000107","2016-06-09","High","187.43","m3/h","Active","15","09/06/2021","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0108","Motor 108","Motor","Siemens","M3BP","SN-000108","2024-02-28","Medium","29.4","kW","Active","10","28/02/2029","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0109","Conveyor 109","Conveyor","Dorner","3200 Series","SN-000109","2017-11-28","Medium","1154.99","kg/h","Active","20","28/11/2022","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0110","Compressor 110","Compressor","Atlas Copco","GA30","SN-000110","2023-12-28","Medium","45.95","kW","Active","12","28/12/2028","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0111","Fan 111","Fan","ABB","CENT-750","SN-000111","2020-09-12","Medium","13466.88","m3/h","Active","12","12/09/2025","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0112","Compressor 112","Compressor","Atlas Copco","GA45","SN-000112","2022-07-02","Medium","34.24","kW","Active","10","02/07/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0113","Conveyor 113","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000113","2018-12-31","High","991.92","kg/h","Active","20","31/12/2023","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0114","Motor 114","Motor","ABB","M3BP","SN-000114","2021-07-25","High","16.42","kW","Active","15","25/07/2026","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0115","Conveyor 115","Conveyor","Dorner","3200 Series","SN-000115","2018-05-31","Low","2334.79","kg/h","Active","15","31/05/2023","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0116","Compressor 116","Compressor","Ingersoll Rand","GA45","SN-000116","2017-08-04","Low","41.4","kW","Active","12","04/08/2022","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0117","Motor 117","Motor","Siemens","M3BP","SN-000117","2019-07-27","High","44.03","kW","Active","10","27/07/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0118","Fan 118","Fan","ABB","CENT-750","SN-000118","2016-07-12","Medium","6309.35","m3/h","Active","12","12/07/2021","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0119","Motor 119","Motor","Siemens","M3BP","SN-000119","2022-12-02","Medium","36.93","kW","Active","12","02/12/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0120","Conveyor 120","Conveyor","SEW-Eurodrive","3200 Series","SN-000120","2021-01-28","High","675.74","kg/h","Active","15","28/01/2026","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0121","Conveyor 121","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000121","2022-09-25","Medium","1323.68","kg/h","Active","12","25/09/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0122","Compressor 122","Compressor","Atlas Copco","GA45","SN-000122","2015-08-24","Medium","59.64","kW","Maintenance","12","24/08/2020","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0123","Fan 123","Fan","ABB","AXIAL-500","SN-000123","2022-01-04","Medium","17627.43","m3/h","Active","20","04/01/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0124","Motor 124","Motor","Siemens","SIMOTICS GP","SN-000124","2021-05-06","Low","24.91","kW","Active","15","06/05/2026","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0125","Motor 125","Motor","ABB","M3BP","SN-000125","2022-03-06","Medium","41.4","kW","Active","20","06/03/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0126","Motor 126","Motor","Siemens","M3BP","SN-000126","2020-03-03","Medium","28.58","kW","Active","10","03/03/2025","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0127","Pump 127","Pump","KSB","CR15","SN-000127","2020-11-21","Medium","237.97","m3/h","Active","15","21/11/2025","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0128","Motor 128","Motor","ABB","M3BP","SN-000128","2019-01-11","High","49.63","kW","Active","12","11/01/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0129","Motor 129","Motor","ABB","SIMOTICS GP","SN-000129","2022-02-10","Low","72.29","kW","Active","10","10/02/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0130","Fan 130","Fan","FläktGroup","CENT-750","SN-000130","2024-11-02","Medium","6543.74","m3/h","Active","10","02/11/2029","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0131","Fan 131","Fan","ABB","CENT-750","SN-000131","2023-03-15","Medium","7248.76","m3/h","Active","15","15/03/2028","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0132","Fan 132","Fan","FläktGroup","AXIAL-500","SN-000132","2015-05-10","High","13482.63","m3/h","Active","12","10/05/2020","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0133","Motor 133","Motor","Siemens","SIMOTICS GP","SN-000133","2019-08-11","High","56.67","kW","Maintenance","20","11/08/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0134","Pump 134","Pump","KSB","Etanorm","SN-000134","2021-09-09","Low","70.16","m3/h","Active","10","09/09/2026","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0135","Fan 135","Fan","ABB","CENT-750","SN-000135","2023-05-10","Medium","18837.49","m3/h","Active","20","10/05/2028","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0136","Pump 136","Pump","Grundfos","Etanorm","SN-000136","2024-06-11","High","70.85","m3/h","Active","10","11/06/2029","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0137","Motor 137","Motor","Siemens","SIMOTICS GP","SN-000137","2022-11-01","High","24.91","kW","Active","15","01/11/2027","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0138","Compressor 138","Compressor","Atlas Copco","R-Series","SN-000138","2016-07-20","High","35.17","kW","Active","10","20/07/2021","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0139","Compressor 139","Compressor","Ingersoll Rand","GA30","SN-000139","2015-04-27","Medium","36.58","kW","Active","12","27/04/2020","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0140","Motor 140","Motor","ABB","M3BP","SN-000140","2023-12-26","Medium","56.97","kW","Maintenance","15","26/12/2028","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0141","Fan 141","Fan","ABB","AXIAL-500","SN-000141","2018-04-20","High","11283.88","m3/h","Active","20","20/04/2023","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0142","Compressor 142","Compressor","Atlas Copco","GA30","SN-000142","2015-03-04","High","28.51","kW","Active","10","04/03/2020","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0143","Compressor 143","Compressor","Ingersoll Rand","GA30","SN-000143","2016-11-19","Medium","41.4","kW","Active","20","19/11/2021","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0144","Compressor 144","Compressor","Atlas Copco","GA30","SN-000144","2019-10-26","High","28.4","kW","Active","15","26/10/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0145","Conveyor 145","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000145","2019-02-09","Medium","631.42","kg/h","Active","12","09/02/2024","28d274a5-78b4-f111-aaad-6045bd0d0e15"
