Maintenance_ID,Asset_ID,Failure_ID,Maintenance_Date,Maintenance_Type,Maintenance_Reason,Component,Technician_ID,Duration_Hours,Planned_Flag,Maintenance_Status,Parts_Replaced,Notes
MNT00030,AST0016,,2026-08-10 15:00:00.000000000,Preventive,Scheduled preventive maintenance,Winding,TECH011,1.35,True,Completed,None,Planned maintenance completed
MNT00031,AST0017,,2026-06-13 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH011,2.71,True,Completed,None,Planned maintenance completed
MNT00032,AST0017,,2026-06-26 08:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH006,1.62,True,Completed,None,Planned maintenance completed
MNT00033,AST0018,,2026-08-21 11:00:00.000000000,Inspection,Routine equipment inspection,Lubrication System,TECH015,2.99,True,Completed,None,Planned maintenance completed
MNT00034,AST0018,,2026-08-12 06:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH007,3.79,True,Completed,None,Planned maintenance completed
MNT00035,AST0019,,2026-08-22 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH007,2.4,True,Completed,None,Planned maintenance completed
MNT00036,AST0019,,2026-06-26 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH001,2.31,True,Completed,None,Planned maintenance completed
MNT00037,AST0019,,2026-06-19 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH009,3.59,True,Completed,Bearing,Planned maintenance completed
MNT00038,AST0020,,2026-07-19 02:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH008,3.6,True,Completed,None,Planned maintenance completed
MNT00039,AST0021,,2026-07-31 03:00:00.000000000,Inspection,Routine equipment inspection,Winding,TECH014,2.84,True,Completed,None,Planned maintenance completed
MNT00040,AST0021,,2026-08-02 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH014,3.91,True,Completed,None,Planned maintenance completed
MNT00041,AST0021,,2026-07-10 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH014,1.12,True,Completed,Bearing,Planned maintenance completed
MNT00042,AST0022,,2026-08-19 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH012,3.02,True,Completed,None,Planned maintenance completed
MNT00043,AST0023,,2026-07-14 13:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH003,2.56,True,Completed,None,Planned maintenance completed
MNT00044,AST0023,,2026-08-26 10:00:00.000000000,Inspection,Routine equipment inspection,Seal,TECH001,1.73,True,Completed,None,Planned maintenance completed
MNT00045,AST0024,,2026-06-19 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH003,3.03,True,Completed,None,Planned maintenance completed
MNT00046,AST0024,,2026-06-01 16:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH013,3.79,True,Completed,None,Planned maintenance completed
MNT00047,AST0025,,2026-08-13 16:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH001,3.75,True,Completed,None,Planned maintenance completed
MNT00048,AST0026,,2026-06-30 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH007,0.76,True,Completed,None,Planned maintenance completed
MNT00049,AST0026,,2026-06-06 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH010,2.45,True,Completed,None,Planned maintenance completed
MNT00050,AST0027,,2026-06-27 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH011,3.97,True,Completed,Motor,Planned maintenance completed
MNT00051,AST0027,,2026-07-03 16:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH007,0.98,True,Completed,None,Planned maintenance completed
MNT00052,AST0027,,2026-06-23 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH012,1.4,True,Completed,None,Planned maintenance completed
MNT00053,AST0028,,2026-06-29 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH014,2.77,True,Completed,None,Planned maintenance completed
MNT00054,AST0028,,2026-07-19 14:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH007,2.53,True,Completed,None,Planned maintenance completed
MNT00055,AST0029,,2026-06-24 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH006,1.5,True,Completed,None,Planned maintenance completed
MNT00056,AST0029,,2026-06-29 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH005,1.56,True,Completed,None,Planned maintenance completed
MNT00057,AST0030,,2026-06-01 04:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH013,0.8,True,Completed,None,Planned maintenance completed
MNT00058,AST0030,,2026-06-02 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH013,2.73,True,Completed,None,Planned maintenance completed
MNT00059,AST0031,,2026-08-10 02:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH010,1.9,True,Completed,None,Planned maintenance completed
MNT00060,AST0031,,2026-07-01 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH009,3.87,True,Completed,None,Planned maintenance completed
MNT00061,AST0031,,2026-08-09 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH014,3.7,True,Completed,None,Planned maintenance completed
MNT00062,AST0032,,2026-07-08 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH006,3.08,True,Completed,None,Planned maintenance completed
MNT00063,AST0033,,2026-06-07 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH014,3.15,True,Completed,Motor,Planned maintenance completed
MNT00064,AST0033,,2026-07-13 00:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH012,3.49,True,Completed,None,Planned maintenance completed
MNT00065,AST0034,,2026-06-23 22:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH005,2.13,True,Completed,None,Planned maintenance completed
MNT00066,AST0035,,2026-08-07 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH008,2.39,True,Completed,None,Planned maintenance completed
MNT00067,AST0035,,2026-06-21 16:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH012,3.3,True,Completed,None,Planned maintenance completed
MNT00068,AST0036,,2026-07-10 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH001,3.37,True,Completed,None,Planned maintenance completed
MNT00069,AST0036,,2026-07-15 10:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH012,1.46,True,Completed,None,Planned maintenance completed
MNT00070,AST0037,,2026-07-02 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Lubrication System,TECH013,1.68,True,Completed,None,Planned maintenance completed
MNT00071,AST0038,,2026-06-18 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH005,1.49,True,Completed,Electrical System,Planned maintenance completed
MNT00072,AST0038,,2026-06-18 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH010,3.31,True,Completed,None,Planned maintenance completed
MNT00073,AST0039,,2026-07-17 18:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH007,1.38,True,Completed,None,Planned maintenance completed
MNT00074,AST0039,,2026-06-02 12:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH007,2.88,True,Completed,None,Planned maintenance completed
MNT00075,AST0040,,2026-07-25 00:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH006,2.27,True,Completed,None,Planned maintenance completed
MNT00076,AST0040,,2026-08-08 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH009,3.85,True,Completed,None,Planned maintenance completed
MNT00077,AST0041,,2026-07-06 10:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH005,2.71,True,Completed,None,Planned maintenance completed
MNT00078,AST0042,,2026-08-02 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH013,3.27,True,Completed,None,Planned maintenance completed
MNT00079,AST0043,,2026-06-27 09:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH013,3.08,True,Completed,None,Planned maintenance completed
MNT00080,AST0043,,2026-07-02 06:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH013,3.17,True,Completed,None,Planned maintenance completed
MNT00081,AST0043,,2026-07-20 21:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH009,1.28,True,Completed,None,Planned maintenance completed
MNT00082,AST0044,,2026-08-04 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH013,0.8,True,Completed,None,Planned maintenance completed
MNT00083,AST0044,,2026-06-21 19:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH004,3.82,True,Completed,None,Planned maintenance completed
MNT00084,AST0045,,2026-08-15 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH010,1.82,True,Completed,None,Planned maintenance completed
MNT00085,AST0045,,2026-06-02 14:00:00.000000000,Inspection,Routine equipment inspection,Impeller,TECH013,2.22,True,Completed,None,Planned maintenance completed
MNT00086,AST0046,,2026-08-10 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH003,3.38,True,Completed,None,Planned maintenance completed
MNT00087,AST0046,,2026-06-08 21:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH008,1.81,True,Completed,None,Planned maintenance completed
MNT00088,AST0047,,2026-08-27 17:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH015,3.92,True,Completed,None,Planned maintenance completed
MNT00089,AST0047,,2026-06-09 10:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH003,0.76,True,Completed,None,Planned maintenance completed
MNT00090,AST0048,,2026-08-27 06:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH001,1.26,True,Completed,None,Planned maintenance completed
MNT00091,AST0048,,2026-06-20 14:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH008,3.7,True,Completed,None,Planned maintenance completed
MNT00092,AST0049,,2026-06-16 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH008,1.09,True,Completed,None,Planned maintenance completed
MNT00093,AST0049,,2026-06-23 11:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH011,1.76,True,Completed,None,Planned maintenance completed
MNT00094,AST0050,,2026-07-09 16:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH013,3.35,True,Completed,None,Planned maintenance completed
MNT00095,AST0050,,2026-06-17 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Impeller,TECH009,1.96,True,Completed,None,Planned maintenance completed
MNT00096,AST0051,,2026-07-07 12:00:00.000000000,Inspection,Routine equipment inspection,Fan Blade,TECH001,0.59,True,Completed,None,Planned maintenance completed
MNT00097,AST0051,,2026-06-10 07:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH005,1.03,True,Completed,None,Planned maintenance completed
MNT00098,AST0052,,2026-06-29 16:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH015,0.72,True,Completed,Bearing,Planned maintenance completed
MNT00099,AST0052,,2026-06-22 13:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH003,2.37,True,Completed,None,Planned maintenance completed
MNT00100,AST0053,,2026-06-30 17:00:00.000000000,Inspection,Routine equipment inspection,Winding,TECH005,1.82,True,Completed,None,Planned maintenance completed
MNT00101,AST0053,,2026-08-19 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH014,3.84,True,Completed,None,Planned maintenance completed
MNT00102,AST0054,,2026-08-26 17:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH007,1.44,True,Completed,None,Planned maintenance completed
MNT00103,AST0054,,2026-06-29 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH012,3.2,True,Completed,None,Planned maintenance completed
MNT00104,AST0054,,2026-06-10 19:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH011,0.81,True,Completed,None,Planned maintenance completed
MNT00105,AST0055,,2026-07-23 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH007,2.74,True,Completed,None,Planned maintenance completed
MNT00106,AST0055,,2026-07-02 19:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH014,1.73,True,Completed,None,Planned maintenance completed
MNT00107,AST0056,,2026-08-24 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH012,2.3,True,Completed,None,Planned maintenance completed
MNT00108,AST0056,,2026-08-28 16:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH001,3.29,True,Completed,None,Planned maintenance completed
MNT00109,AST0057,,2026-06-03 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH014,2.67,True,Completed,None,Planned maintenance completed
MNT00110,AST0057,,2026-08-19 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH015,0.95,True,Completed,Motor,Planned maintenance completed
MNT00111,AST0058,,2026-07-08 11:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH003,2.94,True,Completed,None,Planned maintenance completed
MNT00112,AST0058,,2026-06-28 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Impeller,TECH005,2.61,True,Completed,Impeller,Planned maintenance completed
MNT00113,AST0059,,2026-07-30 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Impeller,TECH010,0.92,True,Completed,None,Planned maintenance completed
MNT00114,AST0060,,2026-08-13 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH015,1.63,True,Completed,Bearing,Planned maintenance completed
MNT00115,AST0060,,2026-07-15 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH001,1.05,True,Completed,None,Planned maintenance completed
MNT00116,AST0060,,2026-07-24 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH015,3.12,True,Completed,Motor,Planned maintenance completed
MNT00117,AST0061,,2026-06-22 21:00:00.000000000,Inspection,Routine equipment inspection,Winding,TECH014,3.16,True,Completed,None,Planned maintenance completed
MNT00118,AST0061,,2026-06-16 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Winding,TECH007,0.63,True,Completed,None,Planned maintenance completed
MNT00119,AST0062,,2026-08-13 22:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH006,3.54,True,Completed,None,Planned maintenance completed
MNT00120,AST0062,,2026-07-21 15:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH007,3.08,True,Completed,Bearing,Planned maintenance completed
MNT00121,AST0063,,2026-06-06 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH004,3.62,True,Completed,None,Planned maintenance completed
MNT00122,AST0064,,2026-07-19 17:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH015,2.54,True,Completed,None,Planned maintenance completed
MNT00123,AST0064,,2026-08-04 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH011,2.63,True,Completed,Drive Motor,Planned maintenance completed
MNT00124,AST0065,,2026-07-25 16:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH007,0.86,True,Completed,Belt,Planned maintenance completed
MNT00125,AST0065,,2026-08-07 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH015,3.45,True,Completed,Roller Bearing,Planned maintenance completed
MNT00126,AST0065,,2026-07-09 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH011,3.64,True,Completed,None,Planned maintenance completed
MNT00127,AST0066,,2026-08-07 21:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH009,2.84,True,Completed,None,Planned maintenance completed
MNT00128,AST0066,,2026-07-29 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH006,1.48,True,Completed,None,Planned maintenance completed
MNT00129,AST0066,,2026-08-15 10:00:00.000000000,Inspection,Routine equipment inspection,Fan Blade,TECH012,3.08,True,Completed,None,Planned maintenance completed
MNT00130,AST0067,,2026-06-14 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Impeller,TECH004,2.53,True,Completed,Impeller,Planned maintenance completed
MNT00131,AST0068,,2026-07-08 13:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH010,2.09,True,Completed,None,Planned maintenance completed
MNT00132,AST0069,,2026-08-07 11:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH009,0.99,True,Completed,Bearing,Planned maintenance completed
MNT00133,AST0069,,2026-08-20 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH001,1.94,True,Completed,None,Planned maintenance completed
MNT00134,AST0069,,2026-06-10 19:00:00.000000000,Inspection,Routine equipment inspection,Seal,TECH008,0.94,True,Completed,None,Planned maintenance completed
MNT00135,AST0070,,2026-08-05 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH013,3.09,True,Completed,None,Planned maintenance completed
MNT00136,AST0070,,2026-07-07 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH005,1.21,True,Completed,Fan Blade,Planned maintenance completed
MNT00137,AST0070,,2026-06-04 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH010,3.68,True,Completed,None,Planned maintenance completed
MNT00138,AST0071,,2026-07-25 22:00:00.000000000,Inspection,Routine equipment inspection,Drive Motor,TECH013,3.65,True,Completed,None,Planned maintenance completed
MNT00139,AST0071,,2026-07-14 14:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH001,2.26,True,Completed,Roller Bearing,Planned maintenance completed
MNT00140,AST0072,,2026-07-05 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH006,1.3,True,Completed,None,Planned maintenance completed
MNT00141,AST0072,,2026-07-21 02:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH004,2.93,True,Completed,None,Planned maintenance completed
MNT00142,AST0073,,2026-08-24 19:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH006,3.63,True,Completed,None,Planned maintenance completed
MNT00143,AST0073,,2026-07-10 14:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH006,0.62,True,Completed,None,Planned maintenance completed
MNT00144,AST0074,,2026-08-17 17:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH015,0.86,True,Completed,None,Planned maintenance completed
MNT00145,AST0074,,2026-08-25 22:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH013,2.39,True,Completed,None,Planned maintenance completed
MNT00146,AST0075,,2026-06-06 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH004,2.74,True,Completed,None,Planned maintenance completed
MNT00147,AST0076,,2026-08-10 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH006,3.86,True,Completed,None,Planned maintenance completed
MNT00148,AST0076,,2026-07-04 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH013,3.82,True,Completed,Bearing,Planned maintenance completed
MNT00149,AST0077,,2026-08-08 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH004,3.76,True,Completed,None,Planned maintenance completed
MNT00150,AST0078,,2026-06-06 06:00:00.000000000,Preventive,Scheduled preventive maintenance,Winding,TECH009,3.2,True,Completed,None,Planned maintenance completed
MNT00151,AST0078,,2026-07-30 14:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH014,0.9,True,Completed,None,Planned maintenance completed
MNT00152,AST0079,,2026-08-17 06:00:00.000000000,Inspection,Routine equipment inspection,Seal,TECH008,2.32,True,Completed,None,Planned maintenance completed
MNT00153,AST0080,,2026-07-26 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH010,1.22,True,Completed,None,Planned maintenance completed
MNT00154,AST0080,,2026-06-24 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH002,2.38,True,Completed,None,Planned maintenance completed
MNT00155,AST0081,,2026-07-10 02:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH008,2.08,True,Completed,Roller Bearing,Planned maintenance completed
MNT00156,AST0081,,2026-07-21 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH013,0.62,True,Completed,None,Planned maintenance completed
MNT00157,AST0082,,2026-08-02 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH001,1.12,True,Completed,None,Planned maintenance completed
MNT00158,AST0082,,2026-06-15 05:00:00.000000000,Preventive,Scheduled preventive maintenance,Electrical System,TECH001,3.99,True,Completed,None,Planned maintenance completed
MNT00159,AST0083,,2026-07-10 15:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH001,1.72,True,Completed,None,Planned maintenance completed
MNT00160,AST0084,,2026-08-26 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH002,3.21,True,Completed,None,Planned maintenance completed
MNT00161,AST0085,,2026-08-10 21:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH013,1.04,True,Completed,Motor,Planned maintenance completed
MNT00162,AST0085,,2026-07-04 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH012,1.45,True,Completed,None,Planned maintenance completed
MNT00163,AST0086,,2026-08-15 23:00:00.000000000,Inspection,Routine equipment inspection,Seal,TECH008,3.53,True,Completed,None,Planned maintenance completed
MNT00164,AST0086,,2026-08-17 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH008,1.19,True,Completed,None,Planned maintenance completed
MNT00165,AST0087,,2026-07-24 15:00:00.000000000,Inspection,Routine equipment inspection,Winding,TECH008,3.32,True,Completed,None,Planned maintenance completed
MNT00166,AST0088,,2026-06-19 19:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH005,2.84,True,Completed,None,Planned maintenance completed
MNT00167,AST0088,,2026-07-05 06:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH001,0.8,True,Completed,None,Planned maintenance completed
MNT00168,AST0089,,2026-07-09 02:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH001,2.75,True,Completed,None,Planned maintenance completed
MNT00169,AST0090,,2026-07-02 01:00:00.000000000,Preventive,Scheduled preventive maintenance,Lubrication System,TECH012,1.83,True,Completed,None,Planned maintenance completed
MNT00170,AST0090,,2026-07-04 12:00:00.000000000,Inspection,Routine equipment inspection,Seal,TECH009,3.21,True,Completed,None,Planned maintenance completed
MNT00171,AST0091,,2026-08-03 11:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH010,3.17,True,Completed,Seal,Planned maintenance completed
MNT00172,AST0091,,2026-08-27 18:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH002,2.15,True,Completed,Seal,Planned maintenance completed
MNT00173,AST0092,,2026-06-10 20:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH011,1.4,True,Completed,Seal,Planned maintenance completed
MNT00174,AST0093,,2026-08-26 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH006,2.92,True,Completed,None,Planned maintenance completed
MNT00175,AST0093,,2026-08-27 01:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH001,1.46,True,Completed,None,Planned maintenance completed
