Cost_ID,Asset_ID,WorkOrder_ID,Maintenance_ID,Failure_ID,Cost_Date,Cost_Type,Labour_Cost,Parts_Cost,Contractor_Cost,Downtime_Cost,Other_Cost,Total_Cost,Currency
CST00021,AST0013,WO00021,MNT00021,,2026-08-09,Preventive Maintenance,60.5,98.66,0.0,0.0,14.09,173.25,GBP
CST00022,AST0013,WO00022,MNT00022,,2026-08-15,Preventive Maintenance,174.85,244.62,1187.54,0.0,77.22,1684.23,GBP
CST00023,AST0013,WO00023,MNT00023,,2026-07-14,Inspection,57.5,9.94,1024.69,0.0,70.69,1162.82,GBP
CST00024,AST0014,WO00024,MNT00024,,2026-08-24,Preventive Maintenance,96.6,224.12,0.0,0.0,7.4,328.12,GBP
CST00025,AST0014,WO00025,MNT00025,,2026-07-11,Preventive Maintenance,102.05,120.37,1069.95,0.0,62.33,1354.7,GBP
CST00026,AST0014,WO00026,MNT00026,,2026-07-23,Preventive Maintenance,70.85,112.65,545.43,0.0,32.52,761.45,GBP
CST00027,AST0015,WO00027,MNT00027,,2026-08-03,Preventive Maintenance,251.55,224.29,0.0,0.0,88.72,564.56,GBP
CST00028,AST0015,WO00028,MNT00028,,2026-08-08,Preventive Maintenance,219.45,152.22,927.58,0.0,76.08,1375.33,GBP
CST00029,AST0016,WO00029,MNT00029,,2026-08-13,Preventive Maintenance,136.0,177.16,0.0,0.0,49.38,362.54,GBP
CST00030,AST0016,WO00030,MNT00030,,2026-08-10,Preventive Maintenance,67.5,166.37,0.0,0.0,2.54,236.41,GBP
CST00031,AST0017,WO00031,MNT00031,,2026-06-13,Preventive Maintenance,162.6,50.21,854.59,0.0,31.44,1098.84,GBP
CST00032,AST0017,WO00032,MNT00032,,2026-06-26,Inspection,105.3,25.43,0.0,0.0,24.93,155.66,GBP
CST00033,AST0018,WO00033,MNT00033,,2026-08-21,Inspection,194.35,20.52,0.0,0.0,22.88,237.75,GBP
CST00034,AST0018,WO00034,MNT00034,,2026-08-12,Preventive Maintenance,189.5,41.55,0.0,0.0,16.12,247.17,GBP
CST00035,AST0019,WO00035,MNT00035,,2026-08-22,Preventive Maintenance,156.0,280.32,0.0,0.0,63.34,499.66,GBP
CST00036,AST0019,WO00036,MNT00036,,2026-06-27,Preventive Maintenance,138.6,264.01,0.0,0.0,18.66,421.27,GBP
CST00037,AST0019,WO00037,MNT00037,,2026-06-19,Preventive Maintenance,215.4,269.92,0.0,0.0,80.74,566.06,GBP
CST00038,AST0020,WO00038,MNT00038,,2026-07-19,Preventive Maintenance,180.0,270.91,0.0,0.0,11.01,461.92,GBP
CST00039,AST0021,WO00039,MNT00039,,2026-07-31,Inspection,184.6,11.4,0.0,0.0,81.8,277.8,GBP
CST00040,AST0021,WO00040,MNT00040,,2026-08-02,Preventive Maintenance,195.5,261.0,735.21,0.0,41.74,1233.45,GBP
CST00041,AST0021,WO00041,MNT00041,,2026-07-10,Preventive Maintenance,56.0,82.19,570.73,0.0,94.29,803.21,GBP
CST00042,AST0022,WO00042,MNT00042,,2026-08-20,Preventive Maintenance,196.3,110.5,0.0,0.0,70.3,377.1,GBP
CST00043,AST0023,WO00043,MNT00043,,2026-07-14,Preventive Maintenance,166.4,121.82,0.0,0.0,96.24,384.46,GBP
CST00044,AST0023,WO00044,MNT00044,,2026-08-26,Inspection,86.5,12.59,0.0,0.0,30.09,129.18,GBP
CST00045,AST0024,WO00045,MNT00045,,2026-06-19,Preventive Maintenance,166.65,99.76,829.09,0.0,50.27,1145.77,GBP
CST00046,AST0024,WO00046,MNT00046,,2026-06-01,Inspection,189.5,2.57,0.0,0.0,90.83,282.9,GBP
CST00047,AST0025,WO00047,MNT00047,,2026-08-13,Inspection,206.25,11.98,0.0,0.0,48.95,267.18,GBP
CST00048,AST0026,WO00048,MNT00048,,2026-06-30,Preventive Maintenance,49.4,295.98,0.0,0.0,67.21,412.59,GBP
CST00049,AST0026,WO00049,MNT00049,,2026-06-06,Preventive Maintenance,122.5,233.25,0.0,0.0,72.82,428.57,GBP
CST00050,AST0027,WO00050,MNT00050,,2026-06-27,Preventive Maintenance,198.5,122.98,0.0,0.0,63.35,384.83,GBP
CST00051,AST0027,WO00051,MNT00051,,2026-07-03,Preventive Maintenance,49.0,170.02,1043.54,0.0,32.08,1294.64,GBP
CST00052,AST0027,WO00052,MNT00052,,2026-06-23,Preventive Maintenance,77.0,72.23,811.35,0.0,67.76,1028.34,GBP
CST00053,AST0028,WO00053,MNT00053,,2026-06-29,Preventive Maintenance,166.2,24.64,0.0,0.0,22.65,213.49,GBP
CST00054,AST0028,WO00054,MNT00054,,2026-07-19,Inspection,151.8,32.26,0.0,0.0,69.09,253.15,GBP
CST00055,AST0029,WO00055,MNT00055,,2026-06-24,Preventive Maintenance,75.0,128.29,0.0,0.0,13.75,217.04,GBP
CST00056,AST0029,WO00056,MNT00056,,2026-06-29,Preventive Maintenance,78.0,115.5,1128.46,0.0,87.73,1409.69,GBP
CST00057,AST0030,WO00057,MNT00057,,2026-06-01,Inspection,40.0,12.9,0.0,0.0,81.72,134.62,GBP
CST00058,AST0030,WO00058,MNT00058,,2026-06-03,Preventive Maintenance,177.45,175.46,0.0,0.0,24.19,377.1,GBP
CST00059,AST0031,WO00059,MNT00059,,2026-08-10,Preventive Maintenance,104.5,46.07,0.0,0.0,90.04,240.61,GBP
CST00060,AST0031,WO00060,MNT00060,,2026-07-01,Preventive Maintenance,212.85,197.27,0.0,0.0,34.92,445.04,GBP
CST00061,AST0031,WO00061,MNT00061,,2026-08-09,Preventive Maintenance,185.0,223.27,0.0,0.0,88.71,496.98,GBP
CST00062,AST0032,WO00062,MNT00062,,2026-07-08,Preventive Maintenance,154.0,238.37,0.0,0.0,8.41,400.78,GBP
CST00063,AST0033,WO00063,MNT00063,,2026-06-07,Preventive Maintenance,204.75,65.26,0.0,0.0,60.64,330.65,GBP
CST00064,AST0033,WO00064,MNT00064,,2026-07-13,Preventive Maintenance,191.95,22.58,880.33,0.0,0.51,1095.37,GBP
CST00065,AST0034,WO00065,MNT00065,,2026-06-24,Inspection,117.15,8.04,0.0,0.0,69.19,194.38,GBP
CST00066,AST0035,WO00066,MNT00066,,2026-08-08,Preventive Maintenance,119.5,202.55,0.0,0.0,71.22,393.27,GBP
CST00067,AST0035,WO00067,MNT00067,,2026-06-21,Inspection,165.0,11.86,0.0,0.0,74.65,251.51,GBP
CST00068,AST0036,WO00068,MNT00068,,2026-07-10,Preventive Maintenance,168.5,201.9,0.0,0.0,65.76,436.16,GBP
CST00069,AST0036,WO00069,MNT00069,,2026-07-15,Inspection,73.0,28.42,599.33,0.0,26.52,727.27,GBP
CST00070,AST0037,WO00070,MNT00070,,2026-07-02,Preventive Maintenance,84.0,88.32,0.0,0.0,39.31,211.63,GBP
CST00071,AST0038,WO00071,MNT00071,,2026-06-18,Preventive Maintenance,81.95,269.77,0.0,0.0,79.48,431.2,GBP
CST00072,AST0038,WO00072,MNT00072,,2026-06-18,Preventive Maintenance,198.6,160.74,0.0,0.0,49.25,408.59,GBP
CST00073,AST0039,WO00073,MNT00073,,2026-07-17,Preventive Maintenance,82.8,74.67,0.0,0.0,28.08,185.55,GBP
CST00074,AST0039,WO00074,MNT00074,,2026-06-02,Inspection,144.0,1.22,0.0,0.0,17.71,162.93,GBP
CST00075,AST0040,WO00075,MNT00075,,2026-07-25,Preventive Maintenance,113.5,283.33,0.0,0.0,91.49,488.32,GBP
CST00076,AST0040,WO00076,MNT00076,,2026-08-08,Preventive Maintenance,211.75,123.64,1131.9,0.0,42.82,1510.11,GBP
CST00077,AST0041,WO00077,MNT00077,,2026-07-06,Inspection,176.15,48.33,0.0,0.0,85.3,309.78,GBP
CST00078,AST0042,WO00078,MNT00078,,2026-08-02,Preventive Maintenance,163.5,102.45,0.0,0.0,85.11,351.06,GBP
CST00079,AST0043,WO00079,MNT00079,,2026-06-27,Inspection,154.0,15.85,0.0,0.0,55.68,225.53,GBP
CST00080,AST0043,WO00080,MNT00080,,2026-07-02,Preventive Maintenance,190.2,282.12,0.0,0.0,57.01,529.33,GBP
CST00081,AST0043,WO00081,MNT00081,,2026-07-20,Inspection,64.0,4.86,0.0,0.0,99.01,167.87,GBP
CST00082,AST0044,WO00082,MNT00082,,2026-08-04,Preventive Maintenance,44.0,59.22,0.0,0.0,87.74,190.96,GBP
CST00083,AST0044,WO00083,MNT00083,,2026-06-21,Preventive Maintenance,248.3,227.42,0.0,0.0,70.25,545.97,GBP
CST00084,AST0045,WO00084,MNT00084,,2026-08-15,Preventive Maintenance,91.0,120.66,0.0,0.0,80.94,292.6,GBP
CST00085,AST0045,WO00085,MNT00085,,2026-06-02,Inspection,111.0,40.51,0.0,0.0,91.32,242.83,GBP
CST00086,AST0046,WO00086,MNT00086,,2026-08-10,Preventive Maintenance,169.0,163.18,0.0,0.0,79.83,412.01,GBP
CST00087,AST0046,WO00087,MNT00087,,2026-06-08,Preventive Maintenance,108.6,201.99,0.0,0.0,79.58,390.17,GBP
CST00088,AST0047,WO00088,MNT00088,,2026-08-27,Preventive Maintenance,196.0,269.2,0.0,0.0,37.56,502.76,GBP
CST00089,AST0047,WO00089,MNT00089,,2026-06-09,Inspection,38.0,4.7,0.0,0.0,3.59,46.29,GBP
CST00090,AST0048,WO00090,MNT00090,,2026-08-27,Preventive Maintenance,63.0,150.37,0.0,0.0,28.65,242.02,GBP
CST00091,AST0048,WO00091,MNT00091,,2026-06-20,Preventive Maintenance,185.0,185.43,285.48,0.0,82.26,738.17,GBP
CST00092,AST0049,WO00092,MNT00092,,2026-06-16,Preventive Maintenance,54.5,120.85,0.0,0.0,52.22,227.57,GBP
CST00093,AST0049,WO00093,MNT00093,,2026-06-23,Preventive Maintenance,105.6,235.6,0.0,0.0,62.29,403.49,GBP
CST00094,AST0050,WO00094,MNT00094,,2026-07-09,Preventive Maintenance,201.0,43.9,754.79,0.0,54.06,1053.75,GBP
CST00095,AST0050,WO00095,MNT00095,,2026-06-17,Preventive Maintenance,127.4,198.48,0.0,0.0,97.59,423.47,GBP
CST00096,AST0051,WO00096,MNT00096,,2026-07-07,Inspection,32.45,25.82,0.0,0.0,79.52,137.79,GBP
CST00097,AST0051,WO00097,MNT00097,,2026-06-10,Inspection,51.5,13.54,0.0,0.0,7.85,72.89,GBP
CST00098,AST0052,WO00098,MNT00098,,2026-06-29,Preventive Maintenance,36.0,27.1,0.0,0.0,83.6,146.7,GBP
CST00099,AST0052,WO00099,MNT00099,,2026-06-22,Preventive Maintenance,130.35,214.87,0.0,0.0,17.33,362.55,GBP
CST00100,AST0053,WO00100,MNT00100,,2026-06-30,Inspection,91.0,7.82,0.0,0.0,54.92,153.74,GBP
CST00101,AST0053,WO00101,MNT00101,,2026-08-19,Preventive Maintenance,192.0,220.09,0.0,0.0,27.99,440.08,GBP
CST00102,AST0054,WO00102,MNT00102,,2026-08-26,Inspection,86.4,47.74,0.0,0.0,55.44,189.58,GBP
CST00103,AST0054,WO00103,MNT00103,,2026-06-29,Preventive Maintenance,176.0,191.28,0.0,0.0,24.77,392.05,GBP
CST00104,AST0054,WO00104,MNT00104,,2026-06-10,Inspection,40.5,17.8,0.0,0.0,1.44,59.74,GBP
CST00105,AST0055,WO00105,MNT00105,,2026-07-23,Preventive Maintenance,150.7,52.5,288.69,0.0,85.55,577.44,GBP
CST00106,AST0055,WO00106,MNT00106,,2026-07-02,Preventive Maintenance,95.15,217.02,0.0,0.0,9.78,321.95,GBP
CST00107,AST0056,WO00107,MNT00107,,2026-08-24,Preventive Maintenance,138.0,157.65,0.0,0.0,17.32,312.97,GBP
CST00108,AST0056,WO00108,MNT00108,,2026-08-28,Preventive Maintenance,197.4,141.48,0.0,0.0,61.59,400.47,GBP
CST00109,AST0057,WO00109,MNT00109,,2026-06-03,Preventive Maintenance,133.5,197.83,605.88,0.0,62.59,999.8,GBP
CST00110,AST0057,WO00110,MNT00110,,2026-08-19,Preventive Maintenance,47.5,160.88,0.0,0.0,65.87,274.25,GBP
CST00111,AST0058,WO00111,MNT00111,,2026-07-08,Preventive Maintenance,161.7,65.62,860.3,0.0,2.65,1090.27,GBP
CST00112,AST0058,WO00112,MNT00112,,2026-06-29,Preventive Maintenance,143.55,184.02,0.0,0.0,57.55,385.12,GBP
CST00113,AST0059,WO00113,MNT00113,,2026-07-30,Preventive Maintenance,55.2,128.69,0.0,0.0,45.83,229.72,GBP
CST00114,AST0060,WO00114,MNT00114,,2026-08-13,Preventive Maintenance,81.5,172.77,0.0,0.0,38.61,292.88,GBP
CST00115,AST0060,WO00115,MNT00115,,2026-07-16,Preventive Maintenance,52.5,289.13,0.0,0.0,19.58,361.21,GBP
CST00116,AST0060,WO00116,MNT00116,,2026-07-24,Preventive Maintenance,156.0,39.42,267.31,0.0,9.44,472.17,GBP
CST00117,AST0061,WO00117,MNT00117,,2026-06-23,Inspection,205.4,34.15,553.03,0.0,84.49,877.07,GBP
CST00118,AST0061,WO00118,MNT00118,,2026-06-16,Preventive Maintenance,31.5,26.52,0.0,0.0,28.19,86.21,GBP
CST00119,AST0062,WO00119,MNT00119,,2026-08-14,Inspection,212.4,5.91,0.0,0.0,62.89,281.2,GBP
CST00120,AST0062,WO00120,MNT00120,,2026-07-21,Preventive Maintenance,184.8,265.69,0.0,0.0,80.35,530.84,GBP
CST00121,AST0063,WO00121,MNT00121,,2026-06-06,Preventive Maintenance,235.3,98.97,0.0,0.0,75.06,409.33,GBP
CST00122,AST0064,WO00122,MNT00122,,2026-07-19,Preventive Maintenance,127.0,245.91,0.0,0.0,41.26,414.17,GBP
CST00123,AST0064,WO00123,MNT00123,,2026-08-04,Preventive Maintenance,131.5,124.17,0.0,0.0,34.08,289.75,GBP
CST00124,AST0065,WO00124,MNT00124,,2026-07-25,Preventive Maintenance,51.6,280.61,0.0,0.0,42.9,375.11,GBP
CST00125,AST0065,WO00125,MNT00125,,2026-08-08,Preventive Maintenance,189.75,230.24,0.0,0.0,10.31,430.3,GBP
CST00126,AST0065,WO00126,MNT00126,,2026-07-09,Preventive Maintenance,236.6,272.71,0.0,0.0,82.65,591.96,GBP
CST00127,AST0066,WO00127,MNT00127,,2026-08-07,Inspection,184.6,16.0,0.0,0.0,38.92,239.52,GBP
CST00128,AST0066,WO00128,MNT00128,,2026-07-30,Preventive Maintenance,81.4,23.03,0.0,0.0,9.13,113.56,GBP
CST00129,AST0066,WO00129,MNT00129,,2026-08-15,Inspection,184.8,15.97,0.0,0.0,95.06,295.83,GBP
CST00130,AST0067,WO00130,MNT00130,,2026-06-14,Preventive Maintenance,164.45,180.56,0.0,0.0,44.84,389.85,GBP
CST00131,AST0068,WO00131,MNT00131,,2026-07-08,Preventive Maintenance,104.5,102.1,0.0,0.0,67.25,273.85,GBP
CST00132,AST0069,WO00132,MNT00132,,2026-08-07,Preventive Maintenance,54.45,230.66,0.0,0.0,78.96,364.07,GBP
CST00133,AST0069,WO00133,MNT00133,,2026-08-21,Preventive Maintenance,116.4,45.54,0.0,0.0,5.76,167.7,GBP
CST00134,AST0069,WO00134,MNT00134,,2026-06-10,Inspection,56.4,27.48,0.0,0.0,88.77,172.65,GBP
CST00135,AST0070,WO00135,MNT00135,,2026-08-05,Preventive Maintenance,185.4,118.26,385.84,0.0,76.15,765.65,GBP
CST00136,AST0070,WO00136,MNT00136,,2026-07-07,Preventive Maintenance,60.5,193.1,329.9,0.0,70.1,653.6,GBP
CST00137,AST0070,WO00137,MNT00137,,2026-06-04,Preventive Maintenance,184.0,40.37,0.0,0.0,70.62,294.99,GBP
CST00138,AST0071,WO00138,MNT00138,,2026-07-26,Inspection,182.5,4.07,1187.31,0.0,37.43,1411.31,GBP
CST00139,AST0071,WO00139,MNT00139,,2026-07-14,Preventive Maintenance,124.3,123.78,0.0,0.0,94.72,342.8,GBP
CST00140,AST0072,WO00140,MNT00140,,2026-07-05,Preventive Maintenance,78.0,296.08,0.0,0.0,37.63,411.71,GBP
CST00141,AST0072,WO00141,MNT00141,,2026-07-21,Inspection,190.45,4.18,0.0,0.0,55.84,250.47,GBP
CST00142,AST0073,WO00142,MNT00142,,2026-08-24,Preventive Maintenance,181.5,138.78,0.0,0.0,11.12,331.4,GBP
CST00143,AST0073,WO00143,MNT00143,,2026-07-10,Inspection,34.1,24.63,695.23,0.0,5.63,759.59,GBP
CST00144,AST0074,WO00144,MNT00144,,2026-08-17,Preventive Maintenance,43.0,53.27,866.75,0.0,74.6,1037.62,GBP
CST00145,AST0074,WO00145,MNT00145,,2026-08-26,Inspection,143.4,29.17,0.0,0.0,37.49,210.06,GBP
CST00146,AST0075,WO00146,MNT00146,,2026-06-06,Preventive Maintenance,164.4,100.0,0.0,0.0,22.36,286.76,GBP
CST00147,AST0076,WO00147,MNT00147,,2026-08-10,Preventive Maintenance,250.9,289.7,1171.38,0.0,4.32,1716.3,GBP
CST00148,AST0076,WO00148,MNT00148,,2026-07-05,Preventive Maintenance,191.0,269.52,0.0,0.0,99.3,559.82,GBP
CST00149,AST0077,WO00149,MNT00149,,2026-08-08,Preventive Maintenance,188.0,40.66,0.0,0.0,96.93,325.59,GBP
CST00150,AST0078,WO00150,MNT00150,,2026-06-06,Preventive Maintenance,208.0,166.47,0.0,0.0,69.57,444.04,GBP
CST00151,AST0078,WO00151,MNT00151,,2026-07-30,Preventive Maintenance,45.0,147.27,0.0,0.0,58.43,250.7,GBP
CST00152,AST0079,WO00152,MNT00152,,2026-08-17,Inspection,150.8,45.06,516.92,0.0,95.04,807.82,GBP
CST00153,AST0080,WO00153,MNT00153,,2026-07-26,Preventive Maintenance,67.1,269.27,0.0,0.0,62.01,398.38,GBP
CST00154,AST0080,WO00154,MNT00154,,2026-06-25,Preventive Maintenance,154.7,97.67,0.0,0.0,46.37,298.74,GBP
CST00155,AST0081,WO00155,MNT00155,,2026-07-10,Preventive Maintenance,124.8,118.94,0.0,0.0,7.77,251.51,GBP
CST00156,AST0081,WO00156,MNT00156,,2026-07-21,Preventive Maintenance,40.3,292.83,0.0,0.0,69.82,402.95,GBP
CST00157,AST0082,WO00157,MNT00157,,2026-08-02,Preventive Maintenance,61.6,170.11,0.0,0.0,81.38,313.09,GBP
CST00158,AST0082,WO00158,MNT00158,,2026-06-15,Preventive Maintenance,219.45,211.72,0.0,0.0,91.09,522.26,GBP
CST00159,AST0083,WO00159,MNT00159,,2026-07-10,Preventive Maintenance,86.0,250.31,0.0,0.0,72.57,408.88,GBP
CST00160,AST0084,WO00160,MNT00160,,2026-08-26,Preventive Maintenance,160.5,191.76,0.0,0.0,93.27,445.53,GBP
CST00161,AST0085,WO00161,MNT00161,,2026-08-10,Preventive Maintenance,62.4,262.5,275.05,0.0,37.65,637.6,GBP
CST00162,AST0085,WO00162,MNT00162,,2026-07-04,Preventive Maintenance,87.0,246.95,0.0,0.0,15.04,348.99,GBP
CST00163,AST0086,WO00163,MNT00163,,2026-08-16,Inspection,194.15,29.71,0.0,0.0,96.99,320.85,GBP
CST00164,AST0086,WO00164,MNT00164,,2026-08-17,Preventive Maintenance,59.5,255.79,0.0,0.0,46.87,362.16,GBP
CST00165,AST0087,WO00165,MNT00165,,2026-07-24,Inspection,199.2,20.74,0.0,0.0,5.64,225.58,GBP
CST00166,AST0088,WO00166,MNT00166,,2026-06-19,Inspection,184.6,43.24,0.0,0.0,99.97,327.81,GBP
CST00167,AST0088,WO00167,MNT00167,,2026-07-05,Preventive Maintenance,44.0,299.06,0.0,0.0,76.9,419.96,GBP
CST00168,AST0089,WO00168,MNT00168,,2026-07-09,Preventive Maintenance,151.25,284.53,0.0,0.0,24.73,460.51,GBP
CST00169,AST0090,WO00169,MNT00169,,2026-07-02,Preventive Maintenance,118.95,146.15,0.0,0.0,95.41,360.51,GBP
CST00170,AST0090,WO00170,MNT00170,,2026-07-04,Inspection,192.6,30.31,0.0,0.0,67.17,290.08,GBP
CST00171,AST0091,WO00171,MNT00171,,2026-08-03,Preventive Maintenance,206.05,193.08,0.0,0.0,11.36,410.49,GBP
CST00172,AST0091,WO00172,MNT00172,,2026-08-27,Preventive Maintenance,118.25,208.04,0.0,0.0,77.23,403.52,GBP
CST00173,AST0092,WO00173,MNT00173,,2026-06-10,Preventive Maintenance,70.0,165.65,0.0,0.0,55.19,290.84,GBP
CST00174,AST0093,WO00174,MNT00174,,2026-08-26,Preventive Maintenance,146.0,177.06,0.0,0.0,40.35,363.41,GBP
CST00175,AST0093,WO00175,MNT00175,,2026-08-27,Inspection,94.9,6.7,967.38,0.0,62.03,1131.01,GBP
CST00176,AST0094,WO00176,MNT00176,,2026-06-25,Preventive Maintenance,43.5,217.14,0.0,0.0,13.64,274.28,GBP
CST00177,AST0094,WO00177,MNT00177,,2026-06-27,Inspection,168.35,0.73,0.0,0.0,58.99,228.07,GBP
CST00178,AST0095,WO00178,MNT00178,,2026-08-11,Preventive Maintenance,128.05,129.83,0.0,0.0,90.42,348.3,GBP
CST00179,AST0095,WO00179,MNT00179,,2026-06-06,Preventive Maintenance,184.8,117.51,0.0,0.0,78.37,380.68,GBP
CST00180,AST0096,WO00180,MNT00180,,2026-07-26,Preventive Maintenance,87.0,131.03,0.0,0.0,86.24,304.27,GBP
CST00181,AST0096,WO00181,MNT00181,,2026-07-26,Preventive Maintenance,122.85,285.87,0.0,0.0,92.66,501.38,GBP
CST00182,AST0097,WO00182,MNT00182,,2026-07-02,Preventive Maintenance,53.5,157.79,0.0,0.0,45.91,257.2,GBP
CST00183,AST0097,WO00183,MNT00183,,2026-06-16,Preventive Maintenance,108.55,294.41,0.0,0.0,32.88,435.84,GBP
CST00184,AST0098,WO00184,MNT00184,,2026-08-09,Preventive Maintenance,178.2,197.35,0.0,0.0,7.59,383.14,GBP
CST00185,AST0099,WO00185,MNT00185,,2026-07-23,Inspection,72.5,6.44,0.0,0.0,15.19,94.13,GBP
CST00186,AST0100,WO00186,MNT00186,,2026-07-14,Preventive Maintenance,146.0,58.87,0.0,0.0,18.19,223.06,GBP
CST00187,AST0101,WO00187,MNT00187,,2026-08-15,Inspection,166.0,17.28,0.0,0.0,47.4,230.68,GBP
CST00188,AST0101,WO00188,MNT00188,,2026-06-30,Preventive Maintenance,183.0,206.92,0.0,0.0,19.23,409.15,GBP
CST00189,AST0102,WO00189,MNT00189,,2026-06-03,Inspection,153.6,2.04,0.0,0.0,27.86,183.5,GBP
CST00190,AST0102,WO00190,MNT00190,,2026-06-11,Preventive Maintenance,37.2,69.56,364.6,0.0,46.08,517.44,GBP
CST00191,AST0102,WO00191,MNT00191,,2026-08-03,Preventive Maintenance,209.0,77.77,0.0,0.0,50.34,337.11,GBP
CST00192,AST0103,WO00192,MNT00192,,2026-08-01,Preventive Maintenance,138.0,213.31,1009.44,0.0,62.79,1423.54,GBP
CST00193,AST0104,WO00193,MNT00193,,2026-07-17,Preventive Maintenance,176.4,42.89,0.0,0.0,92.09,311.38,GBP
CST00194,AST0105,WO00194,MNT00194,,2026-07-28,Preventive Maintenance,97.2,37.1,0.0,0.0,80.62,214.92,GBP
CST00195,AST0105,WO00195,MNT00195,,2026-06-14,Preventive Maintenance,230.75,229.51,0.0,0.0,20.93,481.19,GBP
CST00196,AST0106,WO00196,MNT00196,,2026-08-07,Preventive Maintenance,37.5,123.73,0.0,0.0,61.83,223.06,GBP
CST00197,AST0107,WO00197,MNT00197,,2026-06-11,Preventive Maintenance,162.0,123.3,0.0,0.0,74.75,360.05,GBP
CST00198,AST0107,WO00198,MNT00198,,2026-07-09,Preventive Maintenance,118.2,30.27,0.0,0.0,71.33,219.8,GBP
CST00199,AST0108,WO00199,MNT00199,,2026-06-16,Preventive Maintenance,226.2,270.66,0.0,0.0,53.21,550.07,GBP
CST00200,AST0109,WO00200,MNT00200,,2026-08-23,Preventive Maintenance,44.0,50.01,0.0,0.0,53.26,147.27,GBP
CST00201,AST0110,WO00201,MNT00201,,2026-08-27,Inspection,40.5,12.12,0.0,0.0,37.73,90.35,GBP
CST00202,AST0111,WO00202,MNT00202,,2026-06-01,Inspection,159.0,1.0,0.0,0.0,21.14,181.14,GBP
CST00203,AST0111,WO00203,MNT00203,,2026-07-03,Preventive Maintenance,95.5,111.7,1096.0,0.0,59.36,1362.56,GBP
CST00204,AST0111,WO00204,MNT00204,,2026-07-28,Preventive Maintenance,33.0,210.15,0.0,0.0,49.84,292.99,GBP
CST00205,AST0112,WO00205,MNT00205,,2026-08-14,Inspection,194.5,4.35,0.0,0.0,58.68,257.53,GBP
CST00206,AST0113,WO00206,MNT00206,,2026-08-14,Preventive Maintenance,77.55,228.72,0.0,0.0,12.76,319.03,GBP
CST00207,AST0113,WO00207,MNT00207,,2026-06-01,Preventive Maintenance,64.5,99.46,0.0,0.0,64.59,228.55,GBP
CST00208,AST0114,WO00208,MNT00208,,2026-07-28,Inspection,126.0,28.54,0.0,0.0,98.65,253.19,GBP
CST00209,AST0115,WO00209,MNT00209,,2026-07-21,Preventive Maintenance,208.8,189.62,0.0,0.0,10.18,408.6,GBP
